gameId|Team1Name|Team2Name|GameDate|GameTime|Team1Score|Team2Score
1|Russia|Saudi Arabia|2018-06-14|18:00:00|5|0
2|Egypt|Uruguay|2018-06-15|17:00:00|0|1
3|Russia|Egypt|2018-06-19|21:00:00|3|1
4|Uruguay|Saudi Arabia|2018-06-20|18:00:00||
5|Uruguay|Russia|2018-06-25|18:00:00||
6|Saudi Arabia|Egypt|2018-06-25|17:00:00||
7|Morocco|Iran|2018-06-15|18:00:00|0|1
8|Portugal|Spain|2018-06-15|21:00:00|3|3
9|Portugal|Morocco|2018-06-20|15:00:00|1|0
10|Iran|Spain|2018-06-20|21:00:00||
11|Iran|Portugal|2018-06-25|21:00:00||
12|Spain|Morocco|2018-06-25|20:00:00||
13|France|Australia|2018-06-16|13:00:00|2|1
14|Peru|Denmark|2018-06-16|19:00:00|0|1
15|Denmark|Australia|2018-06-21|16:00:00||
16|France|Peru|2018-06-21|20:00:00||
17|Denmark|France|2018-06-26|17:00:00||
18|Australia|Peru|2018-06-26|17:00:00||
19|Argentina|Iceland|2018-06-16|16:00:00|1|1
20|Croatia|Nigeria|2018-06-16|21:00:00|2|0
21|Argentina|Croatia|2018-06-21|21:00:00||
22|Nigeria|Iceland|2018-06-22|18:00:00||
23|Nigeria|Argentina|2018-06-26|21:00:00||
24|Iceland|Croatia|2018-06-26|21:00:00||
25|Costa Rica|Serbia|2018-06-17|16:00:00|0|1
26|Brazil|Switzerland|2018-06-17|21:00:00|1|1
27|Brazil|Costa Rica|2018-06-22|15:00:00||
28|Serbia|Switzerland|2018-06-22|20:00:00||
29|Serbia|Brazil|2018-06-27|21:00:00||
30|Switzerland|Costa Rica|2018-06-27|21:00:00||
31|Germany|Mexico|2018-06-17|18:00:00|0|1
32|Sweden|South Korea|2018-06-18|15:00:00|1|0
33|South Korea|Mexico|2018-06-23|18:00:00||
34|Germany|Sweden|2018-06-23|21:00:00||
35|South Korea|Germany|2018-06-27|17:00:00||
36|Mexico|Sweden|2018-06-27|19:00:00||
37|Belgium|Panama|2018-06-18|18:00:00|3|0
38|Tunisia|England|2018-06-18|21:00:00|1|2
39|Belgium|Tunisia|2018-06-23|15:00:00||
40|England|Panama|2018-06-24|15:00:00||
41|England|Belgium|2018-06-28|20:00:00||
42|Panama|Tunisia|2018-06-28|21:00:00||
43|Colombia|Japan|2018-06-19|15:00:00|1|2
44|Poland|Senegal|2018-06-19|18:00:00|1|2
45|Japan|Senegal|2018-06-24|20:00:00||
46|Poland|Colombia|2018-06-24|21:00:00||
47|Japan|Poland|2018-06-28|17:00:00||
48|Senegal|Colombia|2018-06-28|18:00:00||